event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2009.283.14.25.15	PURG	-29	-18	-7	0.63	0.8	1.26	f
2009.290.13.18.40	PURG	-11	-4	-1	0.63	0.6	0.84	g
2009.304.19.09.51	PURG	-15	-8	-1	0.42	0.6	0.84	g
2009.327.18.36.34	PURG	-9	1	5	0.63	1	1.47	g
2010.024.18.15.09	PURG	-11	-4	-3	1.26	1.4	1.68	g
2010.222.23.18.31	PURG	-1	0	3	0.84	1	1.26	g
2011.009.10.03.43	PURG	-86	-80	-80	1.68	2.2	3.16	f
2011.011.09.16.09	PURG	-9	-3	-1	0.63	0.6	0.84	g
2011.026.17.03.30	PURG	-9	-4	-3	0.63	0.8	1.05	g
2011.081.13.31.27	PURG	-25	-17	-11	0.63	1.4	2.32	f
2011.085.22.49.40	PURG	-29	-11	-5	0.63	1.2	1.68	g
2007.217.09.28.39	RUTK	33	37	41	1.05	1.2	1.47	f
2007.273.05.23.34	RUTK	-23	16	37	0.42	0.6	1.68	f
2007.288.12.29.34	RUTK	46	56	-90	0.42	1.2	2.74	f
2007.289.21.05.43	RUTK	88	-89	-86	0.84	1	1.47	f
2007.343.07.28.20	RUTK	41	70	-92	0.42	0.4	0.63	g
2007.354.07.55.15	RUTK	37	47	82	0.42	1.2	2.32	g
2007.364.06.24.01	RUTK	-7	-4	-3	1.05	1.2	1.68	g
2008.073.13.28.44	RUTK	31	-76	-66	0	0.4	1.89	f
2008.078.08.22.47	RUTK	48	69	88	0.42	0.6	0.84	f
2008.110.05.58.42	RUTK	76	-88	-86	0.42	0.6	1.05	f
2008.117.23.34.49	RUTK	60	81	-66	0.42	0.8	1.47	f
2008.222.16.36.38	RUTK	76	79	86	1.26	1.6	1.89	f
2008.232.13.37.28	RUTK	-78	-68	-62	1.05	1.4	2.11	f
2008.248.16.09.51	RUTK	31	82	-78	0.21	0.4	1.68	f
2008.273.15.19.31	RUTK	27	70	-80	0.21	0.4	1.47	f
2008.343.18.39.09	RUTK	78	80	-58	0.21	0.8	1.68	f
2008.348.08.45.36	RUTK	72	81	-70	0.42	1	1.89	f
2009.024.01.28.39	RUTK	48	66	84	0.63	0.8	1.05	g
2009.043.18.54.28	RUTK	64	74	82	1.05	1.2	1.47	f
2009.049.03.07.50	RUTK	41	52	72	0.42	0.8	1.47	g
2009.116.00.06.53	RUTK	31	49	-92	0.42	0.6	1.26	f
2009.144.00.58.02	RUTK	35	46	66	0.63	1	1.47	g
2009.275.01.07.39	RUTK	-82	-69	-31	0.21	0.4	0.63	f
2009.281.02.12.39	RUTK	-76	-66	-66	0.21	0.2	0.21	f
2009.283.19.41.24	RUTK	-72	-68	-68	1.47	1.4	1.68	f
2009.285.09.37.21	RUTK	29	40	56	0.63	0.8	1.26	g
2009.335.19.42.58	RUTK	-58	-33	-15	0.42	0.6	1.05	f
2010.119.23.48.07	RUTK	64	64	68	1.47	1.8	2.53	f
2010.177.05.30.19	RUTK	-78	-73	-74	1.68	2.2	2.95	f
2010.203.05.03.56	RUTK	-68	-63	-64	2.11	2.4	2.95	f
2010.326.16.18.43	RUTK	62	64	70	1.05	1.2	1.26	g
2011.023.19.15.42	RUTK	-29	-8	7	0.21	0.2	0.84	f
2011.108.13.03.02	RUTK	37	44	46	0.84	0.8	1.05	g
2007.196.09.27.34	SQAH	41	52	64	0.42	0.4	0.42	g
2007.198.09.39.27	SQAH	50	53	58	1.89	2.2	2.53	f
2007.208.14.46.26	SQAH	29	38	50	0.63	1	1.68	g
2007.212.22.55.31	SQAH	27	32	43	1.05	1.2	1.47	g
2007.213.17.08.51	SQAH	21	30	58	0.42	0.6	1.26	f
2007.231.13.44.04	SQAH	62	70	78	0.84	0.8	1.05	g
2007.257.11.51.30	SQAH	50	56	64	0.63	0.8	0.84	g
2007.270.19.57.44	SQAH	27	52	-90	0.21	0.4	1.26	f
2007.271.01.01.49	SQAH	66	-86	-80	0.63	1.4	3.37	f
2007.271.01.35.51	SQAH	46	74	-90	0.42	0.8	1.26	f
2007.271.11.16.39	SQAH	68	79	-90	0.42	0.6	1.05	g
2007.278.07.17.52	SQAH	60	63	66	0.84	0.8	0.84	g
2007.286.17.45.53	SQAH	27	32	60	0.42	0.8	1.47	f
2007.289.21.05.43	SQAH	60	64	68	0.63	0.6	0.84	g
2007.323.00.52.12	SQAH	48	59	72	0.42	0.4	0.63	g
2007.323.15.20.03	SQAH	68	75	86	0.63	0.6	0.84	g
2007.343.07.28.20	SQAH	43	61	80	0.42	0.4	0.63	g
2008.015.17.52.15	SQAH	66	72	78	0.63	0.6	0.63	g
2008.032.12.10.06	SQAH	66	75	82	0.63	0.8	0.84	f
2008.103.00.30.12	SQAH	68	86	-68	0.42	0.8	1.47	f
2008.103.12.05.14	SQAH	-17	-4	1	0.63	0.8	1.05	f
2008.110.05.58.42	SQAH	23	38	-86	0.21	0.4	1.05	f
2008.117.23.34.49	SQAH	72	90	-76	0.63	0.6	0.84	f
2008.162.04.13.37	SQAH	88	-90	-88	0.63	0.8	1.05	f
2008.185.03.02.37	SQAH	70	75	82	0.63	0.6	0.63	g
2008.201.09.27.01	SQAH	15	78	-82	0	0.2	1.26	f
2008.201.11.01.17	SQAH	29	78	-86	0.21	0.6	1.47	f
2008.201.22.39.52	SQAH	60	66	76	0.42	0.6	0.63	g
2008.241.15.22.23	SQAH	23	30	43	0.84	1	1.26	f
2008.245.04.00.39	SQAH	60	62	68	0.63	0.6	0.63	g
2008.327.18.49.42	SQAH	23	39	58	0.63	1	1.47	f
2008.332.17.31.27	SQAH	41	52	66	0.63	0.6	0.84	f
2008.344.17.28.58	SQAH	58	66	76	0.63	0.6	0.63	g
2008.345.13.15.34	SQAH	39	56	72	0.42	0.4	0.63	f
2008.352.10.55.59	SQAH	54	65	76	0.42	0.6	0.63	f
2009.021.17.08.42	SQAH	41	53	62	0.63	0.8	1.05	g
2009.043.18.54.28	SQAH	58	66	78	0.84	1	1.47	f
2009.049.21.53.45	SQAH	23	34	56	0.21	0.6	1.68	f
2009.060.15.42.13	SQAH	48	62	78	0.42	0.4	0.42	g
2009.108.02.03.52	SQAH	52	62	72	0.63	0.8	0.84	g
2009.108.17.49.39	SQAH	50	70	82	0.42	0.6	0.63	g
2009.116.00.06.53	SQAH	39	47	54	0.84	1	1.47	f
2009.136.00.53.51	SQAH	52	55	62	0.84	0.8	0.84	f
2009.143.02.59.28	SQAH	62	67	74	0.84	0.8	0.84	f
2009.154.18.54.38	SQAH	-90	-65	-50	0.63	0.8	1.26	f
2009.163.09.44.15	SQAH	37	60	88	0.21	0.4	0.63	f
2009.230.21.20.47	SQAH	64	75	86	0.63	0.8	1.05	f
2009.245.18.00.09	SQAH	66	71	78	0.84	0.8	0.84	g
2009.281.02.12.39	SQAH	31	48	68	0.42	0.4	0.63	f
2009.281.08.28.47	SQAH	58	87	-88	0.42	0.8	1.68	f
